MSSubClass,MSZoning,LotArea,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,SalePrice
20,RL,215245,5,1965,1965,2136,375000
70,RM,9600,7,1925,1990,728,178000
60,RL,7795,5,2004,2005,716,188500
60,RL,13005,7,1980,1980,845,260000
60,FV,9000,5,2006,2006,1088,270000
60,RL,9900,5,1993,1993,1347,260000
80,RL,14115,5,1980,1980,1372,187500
60,RL,16259,5,2006,2006,1249,342643
60,RL,12099,5,2004,2004,1136,354000
60,RL,10380,5,1986,1987,1502,301000
20,RM,5820,8,1955,2005,1162,126175
80,RL,11275,7,1967,2007,710,242000
45,RM,5000,6,1941,1950,720,87000
120,RL,10846,5,1993,1993,1719,324000
20,RL,11600,5,1960,1960,1383,145250
75,RL,11888,6,1916,1994,844,214500
70,RM,6402,5,1920,1950,596,78000
90,RL,10624,4,1964,1964,1728,119000
20,RL,8176,6,1958,1992,1056,139000
20,RL,10655,5,2003,2004,3206,284000
120,RM,8198,5,2004,2004,1358,207000
60,RL,9042,5,1998,1998,943,192000
190,RL,164660,6,1965,1965,1499,228950
20,RL,14157,5,2005,2006,1922,377426
20,RL,9135,5,2002,2003,1536,214000
20,RL,14145,7,1984,1998,1208,202500
20,RL,12400,7,1958,1998,1215,155000
60,RL,14191,5,2002,2002,967,202900
20,RH,8400,4,1950,1950,721,82000
90,RL,8544,4,1949,1950,0,87500
120,RL,8849,5,2005,2005,1684,266000
160,RM,2592,3,1976,1976,536,85000
50,RL,6435,5,1939,1950,972,140200
20,RL,12772,8,1960,1998,958,151500
20,RL,17600,5,1960,1960,1478,157500
160,RL,2448,5,2003,2004,764,154000
60,RL,20431,5,2005,2006,1848,437154
120,RL,7820,5,2007,2007,1869,318061
120,RL,5271,5,1986,1986,1453,190000
50,RL,9084,6,1941,1950,616,95000
30,RM,8520,8,1928,2003,624,105900
50,RL,8400,5,1940,2000,940,140000
20,RL,11249,5,1995,1995,1200,177500
20,RL,9248,6,1992,1992,1158,173000
120,RM,4224,5,1976,1976,1142,134000
80,RL,6930,4,1958,1958,1062,130000
60,RL,12011,5,1998,1998,1086,280000
85,RL,7540,6,1978,1978,888,156000
50,RL,9144,5,1940,1982,883,145000
85,RL,7301,5,2003,2003,0,198500
160,RM,1680,8,1972,2007,483,118000
60,RL,18800,5,1976,1976,796,190000
70,RM,10690,7,1920,1997,672,147000
20,RL,9500,5,1963,1963,1394,159000
80,RL,9150,5,1962,1962,1099,165000
20,RL,7800,6,1954,1954,1268,132000
20,RL,9830,7,1959,2006,1063,162000
60,RL,8121,5,2000,2000,953,172400
50,RL,17120,4,1959,1959,0,134432
120,RL,7175,5,1984,1984,744,125000
20,RL,10634,6,1953,1953,608,123000
60,RL,8200,5,2003,2004,847,219500
30,RL,10020,1,1922,1950,683,61000
85,RL,8846,5,1996,1996,870,148000
60,FV,11143,5,2004,2005,1580,340000
20,RL,11394,2,2010,2010,1856,394432
60,RL,8123,5,2000,2000,982,179000
50,RL,5000,6,1924,1950,1026,127000
20,FV,7200,5,2006,2006,1293,187750
60,RL,9245,5,2006,2006,939,213500
45,RH,9000,3,1928,1950,784,76000
60,RL,53107,5,1992,1992,1580,240000
120,RL,3182,5,2004,2005,1256,192000
50,RL,8410,3,1910,1996,658,81000
80,RL,7200,6,1976,1976,1041,125000
20,RL,9382,5,1999,2000,1468,191000
60,RL,12474,5,2007,2008,1682,426000
50,RL,8405,8,1900,1950,861,119000
60,RL,12209,5,2001,2002,804,215000
20,RL,8339,7,1959,1959,0,106500
30,RL,7446,5,1941,1950,788,100000
50,RL,10134,6,1940,1950,735,109000
20,RL,9571,6,1956,1956,1144,129000
20,RL,7200,5,1972,1972,894,123000
60,RL,7590,5,1962,1962,864,169500
30,RM,8967,2,1920,1950,961,67000
60,FV,8125,5,2006,2007,1092,241000
120,RL,14963,5,1996,1996,1260,245500
20,RL,8767,5,2005,2005,1310,164990
30,RL,10200,8,1940,1997,672,108000
60,RL,12090,5,1998,1998,1141,258000
60,RL,10364,5,1995,1996,806,168000
20,RL,9991,4,1976,1993,1281,150000
50,RL,10480,5,1936,1950,1064,115000
70,RL,15576,7,1915,1976,840,177000
60,RL,14154,5,2006,2006,1063,280000
60,FV,10800,5,2007,2008,1034,339750
20,RL,9571,3,1958,1958,1276,60000
190,RL,34650,5,1955,1955,1056,145000
20,FV,4403,5,2009,2009,1470,222000
30,RM,8960,6,1927,1950,1008,115000
60,RL,11228,5,1993,1993,1080,228000
20,RL,8899,5,2007,2007,1340,181134
60,RL,7844,7,1978,1978,672,149500
70,RL,22420,6,1918,1950,1370,239000
50,RL,8160,6,1940,1950,756,126000
20,RL,8450,6,1968,1968,1056,142000
90,RM,7060,5,1997,1998,1344,206300
20,RL,16635,7,1977,2000,1602,215000
20,RL,21750,5,1954,1954,988,113000
60,RL,9200,5,1998,1998,1470,315000
20,RL,9000,5,1956,1956,1196,139000
60,RM,3378,8,1946,1992,651,135000
80,RL,12800,5,1989,1989,1518,275000
20,RL,8593,6,1957,1957,907,109008
20,RL,6762,5,2007,2007,1208,195400
20,RL,11457,5,1988,1988,1392,175000
160,RM,1680,5,1971,1971,483,85400
50,RM,5586,7,1920,1998,901,79900
160,RM,1920,5,1971,1971,765,122500
60,RL,10839,5,1997,1998,926,181000
180,RM,1890,7,1972,1972,630,81000
60,RL,10667,6,1996,1996,799,212000
50,RM,4400,8,1920,1950,648,116000
45,RM,6000,7,1926,2004,884,119000
30,RL,4280,6,1913,2002,440,90350
50,RL,12354,8,1920,2000,684,110000
20,RL,15431,5,2008,2008,3094,555000
90,RL,12108,4,1955,1955,1440,118000
50,RM,6240,7,1930,1992,1078,162900
120,RL,3922,5,2006,2007,1258,172500
60,RL,8750,5,1994,1995,915,210000
20,RL,9855,5,1956,1956,1436,127500
20,RL,16492,6,1966,2002,1517,190000
60,RL,11214,5,1998,1999,930,199900
50,RM,8600,6,1937,1950,780,119500
50,RM,6000,7,1948,2002,649,120000
30,RM,5684,8,1930,2005,813,110000
20,RL,70761,5,1975,1975,1533,280000
60,RL,9303,5,1996,1997,872,204000
60,FV,9000,5,2008,2008,768,210000
90,RL,9297,5,1976,1976,1728,188000
20,RL,9600,6,1973,1973,1242,175500
70,RM,4571,5,1916,1950,624,98000
20,RL,53227,6,1954,1994,1364,256000
70,RM,5100,7,1925,1996,588,161000
50,RL,7015,4,1950,1950,709,110000
60,FV,8004,5,2009,2009,832,263435
70,RL,7200,9,1936,2007,560,155000
20,RL,8281,5,1965,1965,864,62383
70,RL,11988,7,1934,1995,715,188700
20,RL,8430,5,1978,1978,1040,124000
120,RM,3072,5,2004,2004,1375,178740
20,RL,10628,5,1970,1970,1277,167000
70,RL,9480,7,1942,1995,728,146500
20,RL,11428,5,2006,2006,1626,250000
60,RL,9291,5,1993,1993,832,187000
120,RL,6820,5,1985,1985,1488,212000
60,RL,11952,6,1977,1977,808,190000
180,RM,3675,5,2005,2005,547,148000
20,RL,14977,5,2006,2007,1976,440000
120,RL,5330,5,2000,2000,1494,251000
20,RL,8480,6,1963,1963,970,132500
20,RL,13125,5,1997,1998,1478,208900
60,RL,13693,5,2006,2006,2153,380000
20,RL,10637,5,2007,2008,1705,297000
30,RM,5925,7,1937,2000,907,89471
20,RL,16033,5,2004,2005,1833,326000
20,RL,11846,5,2003,2004,1792,374000
70,RM,2500,8,1915,2005,910,155000
120,RM,4500,5,1998,1998,1216,164000
20,RL,7758,7,1962,2001,999,132500
20,RL,9600,7,1950,2007,1113,147000
20,RL,10289,7,1965,1965,1073,156000
20,RL,12243,6,1971,1971,1484,175000
190,RL,10800,4,1900,1970,954,160000
180,RM,1526,8,1970,2002,630,86000
160,RM,2665,6,1976,1976,264,115000
50,RL,9490,7,1941,1950,806,133000
60,RL,15578,5,2006,2006,728,172785
20,RL,7931,6,1960,1960,1269,155000
30,RM,5784,8,1938,1996,190,91300
30,C (all),7879,5,1920,1950,720,34900
20,RL,12692,5,1992,1993,3200,430000
50,RL,9120,6,1925,1950,1026,184000
20,RL,7800,7,1967,2004,864,130000
20,RL,7535,7,1958,1985,912,120000
160,RM,1890,5,1973,1973,672,113000
60,FV,9803,5,2005,2005,866,226700
20,RL,9170,7,1965,1965,1214,140000
20,RL,15602,8,1959,1997,1501,289000
160,RL,2308,5,1974,1974,855,147000
90,RM,7596,5,1952,1952,960,124500
60,RL,9554,5,1993,1994,777,215000
20,FV,7862,5,2009,2009,1218,208300
70,RM,9600,9,1928,2005,689,161000
20,RL,9600,6,1959,1959,1041,124500
20,RL,14559,7,1951,2000,1008,164900
120,RL,6792,5,2005,2006,1368,202665
20,RL,9100,5,1958,1958,864,129900
20,RL,9187,5,1983,1983,1084,134000
45,RL,10594,5,1926,1950,768,96500
20,RL,12220,5,2009,2009,2006,402861
80,RL,10448,6,1972,1972,689,158000
60,RL,10208,5,1996,1997,1264,265000
60,RL,9531,5,1998,1998,794,211000
70,RL,10918,9,1926,2004,1276,234000
190,RL,10800,7,1900,2000,0,106250
20,RL,11988,6,1957,1957,1244,150000
50,RM,5000,7,1947,1950,1004,159000
60,RL,40094,5,2007,2008,3138,184750
60,RL,11787,5,1996,1997,1379,315750
20,FV,7500,5,2005,2005,1257,176000
20,RL,13300,7,1956,2000,928,132000
60,RL,14948,5,2008,2008,1452,446261
30,RL,9098,7,1920,2002,528,86000
20,RL,32668,3,1957,1975,2035,200624
80,RL,10200,5,1988,1989,1461,175000
70,RM,6155,8,1920,1999,611,128000
20,RL,7200,7,1955,2007,0,107500
20,RL,5000,3,1946,1950,0,39300
60,RL,9056,5,2004,2004,707,178000
190,RL,7000,7,1910,1991,1117,107500
60,RL,8924,5,1998,1999,880,188000
20,RL,12735,5,1972,1972,864,111250
20,RL,11553,5,1968,1968,1051,158000
20,RL,11423,5,2001,2002,1581,272000
20,RL,14601,5,2006,2006,1838,315000
60,RL,11000,5,2000,2000,969,248000
20,RL,10140,5,1998,1999,1650,213250
120,RH,4058,5,1998,1998,723,133000
60,RL,17104,5,2006,2006,654,179665
50,RL,13837,5,1988,1988,1204,229000
50,RL,8737,7,1923,1950,1065,210000
85,RL,7244,7,1970,1970,768,129500
20,RM,8235,7,1955,1995,825,125000
60,FV,9375,5,2003,2004,912,263000
120,RL,4043,6,1977,1977,1069,140000
20,RM,6000,6,1957,1957,928,112500
20,RL,11146,5,2006,2006,1709,255500
20,RL,8777,5,1949,2003,0,108000
60,RL,10625,5,2003,2004,998,284000
45,RM,6380,6,1922,1950,993,113000
20,RL,14850,5,1957,1957,1092,141000
50,C (all),11040,6,1920,1950,637,108000
60,RL,21872,5,1996,1997,729,175000
120,RL,3196,5,2003,2004,1374,234000
20,RL,11341,6,1957,1996,1392,121500
20,RL,10010,5,1974,1975,1389,170000
30,RL,13907,6,1940,1969,996,108000
50,RL,21780,7,1918,1950,1163,185000
60,RL,13346,5,1992,2000,1095,268000
70,RL,6858,4,1915,1950,806,128000
60,RL,11198,5,2005,2007,1122,325000
20,RL,10171,5,2004,2004,1517,214000
50,RL,12327,8,1983,2009,1496,316600
90,RL,7032,5,1979,1979,943,135960
90,RL,13101,5,1965,1965,1728,142600
20,RL,7332,6,1959,1959,864,120000
60,RL,13159,5,2009,2009,846,224500
80,RL,9967,5,2000,2000,384,170000
80,RL,10500,7,1971,2005,372,139000
50,RL,8480,5,1947,1950,832,118500
50,RL,6292,7,1928,1950,861,145000
80,RL,11777,6,1966,1966,1164,164500
160,FV,3604,5,2007,2007,689,146000
50,RM,12150,5,1954,1954,1050,131500
20,RL,14585,6,1960,1987,1144,181900
20,RL,12704,5,2008,2009,2042,253293
90,RL,11841,5,1990,1990,816,118500
75,RM,13500,9,1893,2000,1237,325000
50,RM,6120,7,1935,1995,884,133000
20,RL,11443,5,2005,2006,1868,369900
30,RL,10267,7,1918,2000,816,130000
85,RL,8740,6,1982,1982,840,137000
20,RL,25095,8,1968,2003,1437,143000
40,RM,9100,6,1930,1960,742,79500
60,RL,8320,5,2004,2004,770,185900
60,RL,13478,5,2008,2008,1722,451950
20,RL,6600,8,1982,2003,816,138000
120,RM,4435,5,2003,2003,848,140000
20,RL,7990,6,1975,1975,924,110000
20,RL,11302,5,2005,2006,1814,319000
70,RM,3600,7,1910,1993,684,114504
120,RL,3922,5,2006,2007,1258,194201
20,RL,12984,6,1977,1977,1430,217500
160,RM,1950,6,1980,1980,716,151000
60,RL,10927,5,2005,2005,1058,275000
50,RM,9000,6,1937,1950,780,141000
60,RL,10041,5,1992,1992,908,220000
160,FV,3182,5,2004,2005,600,151000
20,RL,12803,5,2002,2002,1494,221000
60,RL,13600,6,1965,1990,768,205000
20,RL,12464,5,1996,1996,1040,152000
20,RL,7800,8,1948,2002,896,225000
70,RL,12168,6,1934,1998,965,359100
20,RL,7943,5,1961,1961,1029,118500
60,RL,11050,5,2000,2000,1440,313000
80,RL,10395,6,1978,1978,1032,148000
60,RL,11885,5,2001,2001,1299,261500
20,RL,8402,5,2007,2007,1120,147000
180,RM,1491,6,1972,1972,630,75500
85,RL,8800,7,1963,1963,936,137500
60,RL,7861,5,2002,2003,783,183200
45,RL,7227,6,1954,1954,832,105500
20,RL,11694,5,2007,2007,1822,314813
60,RL,12244,5,2003,2003,1482,305000
30,RL,8248,3,1914,1950,864,67000
60,RL,10800,7,1974,1997,1522,240000
20,RL,7064,6,1977,1977,980,135000
160,FV,2117,5,2000,2000,756,168500
60,RL,10400,5,1972,1972,732,165150
20,RL,10000,6,1962,1962,1116,160000
20,RL,12342,5,1960,1978,978,139900
80,RL,9600,6,1955,1972,1156,153000
60,RL,11606,5,1969,1969,1040,135000
80,RL,9020,5,1964,1964,1248,168500
70,RM,9000,6,1880,1991,636,124000
120,RL,4590,5,2006,2006,1554,209500
20,RL,11900,5,1977,1977,1386,82500
20,RL,9250,7,1954,2005,1056,139400
90,RL,6979,5,1980,1980,1056,144000
190,RH,10896,7,1914,1995,1440,200000
30,RM,6120,3,1936,1950,264,60000
190,RM,6000,4,1954,1954,811,93000
30,RL,8777,7,1910,1950,796,85000
120,RL,3982,5,2006,2006,1520,264561
120,RL,12677,5,2003,2004,1518,274000
60,FV,7050,5,2001,2001,1057,226000
80,RL,13860,7,1972,1995,1952,345000
60,RL,10793,5,1969,1969,780,152000
20,FV,9187,5,2009,2009,1766,370878
